Date,%Irr_CWR_met_Chilli,%Rf_CWR_met_Chilli,%Irr_CWR_met_Tobacco,%Rf_CWR_met_Tobacco,%Irr_CWR_met_Pulses,%Rf_CWR_met_Pulses
1998-12-31,0.981087,0,1,0.826247,0,0.851373
1999-12-31,1,0,1,0.668178,0,0.794884
2000-12-31,0.900595,0,0.978311,0.676873,0,0.864814
2001-12-31,1,0,1,0.806541,0,0.880734
2002-12-31,1,0,1,0.656687,0,0.741387
2003-12-31,0.890267,0,0.997687,0.686026,0,0.732069
2004-12-31,0.87754,0,0.99338,0.76674,0,0.767231
2005-12-31,1,0,1,0.783759,0,0.881556
2006-12-31,1,0,1,0.793269,0,0.908734
2007-12-31,1,0,1,0.713459,0,0.721219
2008-12-31,1,0,1,0.803665,0,0.900603
2009-12-31,1,0,1,0.853701,0,0.967211
2010-12-31,1,0,1,0.964326,0,0.974275
2011-12-31,1,0,1,0.7037,0,0.791239
2012-12-31,1,0,1,0.726722,0,0.74504
2013-12-31,1,0,1,0.755401,0,0.825498
2014-12-31,0.910475,0,0.894482,0.563019,0,0.867427
2015-12-31,0.627642,0,0.850704,0.774444,0,0.955535
2016-12-31,0.859474,0,0.748748,0.501038,0,0.819141
2017-12-31,0.641299,0,0.788547,0.615851,0,0.68736
