Date,Year,Month,Tmin,Tmax,Tmean,Rain,Days,ETom,ETci_Chilli,ETci_Tobacco,ETci_Pulses,ETci_plot 1,ETci_plot 2,ETci_plot 3,RG_days_Chilli,RG_days_Tobacco,RG_days_Pulses,Irr_Area_Chilli,Rainfed_Area_Chilli,Irr_Area_Tobacco,Rainfed_Area_Tobacco,Irr_Area_Pulses,Rainfed_Area_Pulses,Qom,Qom(m^3),GWnrm_plot 1,GWnrm_plot 2,GWnrm_plot 3,GWnrm_Fallow,Recharge,IWR_Chilli,AE_soil_Chilli,AE_crop_Chilli,IWR_Tobacco,AE_soil_Tobacco,AE_crop_Tobacco,IWR_Pulses,AE_soil_Pulses,AE_crop_Pulses,AE_soil_Fallow,IWR_Chilli_Chilli,AE_soil_Chilli_soil_Chilli,AE_crop_Chilli_crop_Chilli,IWR_Tobacco_Tobacco,AE_soil_Tobacco_soil_Tobacco,AE_crop_Tobacco_crop_Tobacco,IWR_Pulses_Pulses,AE_soil_Pulses_soil_Pulses,AE_crop_Pulses_crop_Pulses,Irrigation_eff_Chilli,Irr_water_need_Chilli,Irrigation_eff_Tobacco,Irr_water_need_Tobacco,Irrigation_eff_Pulses,Irr_water_need_Pulses,Irr_water_need,Total Irrigated Area,Total Rainfed Area,Residual_storage,Accumulated_natural_recharge,Potential_ET,Canal_supply,IWR_after_canal,Potential_recharge,Domestic_need,Other_need,GW_need,SW_need,SW_abstracted,value_after_subtracting_domestic_SW_use,Value after Rejected Recharge,Storage,all_req_met,Actual_Recharge,Actual_ET,Actual_IWR,Runoff_captured,Runoff_left_after_storage,Runoff in GW recharge str,added_monthly_recharge,Cumulative_storage_monthly,GW_abstracted,Cumulative_left_after_domestic_abstraction,GW_extracted,Cumulative_left_after_crop_abstraction,Rejected_recharge,GW_left_after_rejected_recharge,Captured Runoff in m³,Actual_Recharge_mm,Runoff in GW recharge str_mm,Captured Runoff in m³_mm,Rejected_recharge_mm,Percent_Irr_Water_Req_Fulfilled,Irr_CWR_met_Chilli,Rainfed_CWR_met_Chilli,%Irr_CWR_met_Chilli,%Rainfed_CWR_met_Chilli,Irr_CWR_met_Tobacco,Rainfed_CWR_met_Tobacco,%Irr_CWR_met_Tobacco,%Rainfed_CWR_met_Tobacco,Irr_CWR_met_Pulses,Rainfed_CWR_met_Pulses,%Irr_CWR_met_Pulses,%Rainfed_CWR_met_Pulses,runoff to recharge,final_ro,Final_Runoff,Final_Recharge,ET_Biological,Final_ET
1997-01-31,Year0,1,20.4,31.5,25.95,2.10163,31,126.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0986,0,0,29.0986,0,0,29.0986,0,29.0986,0,29.0986,0,0,29.0986,0,0,29.0986,0,0,0,0,0,0,0,0,0,0,0,0,5705.6,0,0,40950,41664,465,25277.4,16851.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,29.0986,2.1016290890000002
1997-02-28,Year0,2,22,33.7,27.86,19.6382,28,135.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5096633278766044,34285.1,0,0,0,0,0,0,19.1219,0,0,19.1219,0,0,19.1219,0,19.1219,0,19.1219,0,0,19.1219,0,0,19.1219,0,0,0,0,0,0,0,0,0,0,0,0,6087.65,0,0,40950,37632,420,22831.2,15220.8,15220.8,19064.3,34285.1,19064.3,0,16596.9,2467.31,0,19064.3,0,0,16596.9,16596.9,16596.9,0,0,0,0,0,19064.3,0.246721,0,0.283399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246721,0.22626430801248704,0.22626430801248704,0.246721,19.1219,19.165193154589335
1997-03-31,Year0,3,24.4,36.4,30.4,0.653175,31,176.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662848,0,0,0.662848,0,0,0.662848,0,0.662842,0,0.662848,0,0,0.662848,0,0,0.662848,0,0,0,0,0,0,0,0,0,0,0,0,7928.69,0,0,40950,41664,465,25277.4,16851.6,0,0,0,-9.09495e-13,0,-7.61964e-13,-1.47531e-13,-0,0,0,0,-7.61964e-13,-7.61964e-13,-7.61964e-13,0,0,0,0,0,0,-1.1327e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1327e-17,0.0,0.0,0,0.662846,0.653174608
1997-04-30,Year0,4,26.2,38.2,32.17,30.1301,30,186.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.130788922087621,210608,0,0,0,0,0,0,25.5498,0,0,25.5498,0,0,25.5498,0,25.5497,0,25.5498,0,0,25.5498,0,0,25.5498,0,0,0,0,0,0,0,0,0,0,0,0,8411.55,0,0,40950,40320,450,24462,16308,16308,194300,210608,194300,1,40950,8411.55,0,194300,0,0,40950,40950,24462,16488,0,16488,0,16488,194300,0.608741,0,2.88836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608741,0.2424260442990933,0.2424260442990933,0.608741,25.5498,29.27895004879976
1997-05-31,Year0,5,28.2,40.3,34.22,20.6741,31,205.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1237,0,0,22.1237,0,0,22.1237,0,22.1237,0,22.1237,0,0,22.1237,0,0,22.1237,0,0,0,0,0,0,0,0,0,0,16488,0,9231.29,0,0,40950,41664,465,25277.4,16851.6,0,0,0,144939,1,40950,9231.29,0,0,0,0,40950,57438,25277.4,32160.6,0,32160.6,0,32160.6,0,0.608741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608741,0.0,0.0,0.608741,22.1237,20.065360977098855
1997-06-30,Year0,6,28.1,39,33.56,55.0689,30,184.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.079172894185847,139866,0,0,0,0,0,0,52.7214,0,0,52.7214,0,0,52.7214,0,52.7214,0,52.7214,0,0,52.7214,0,0,52.7214,0,0,0,0,0,0,0,0,0,0,32160.6,0,8318.73,0,0,40950,40320,450,24462,16308,16308,123558,139866,218315,1,40950,8318.73,0,123558,-1.45519e-11,-1.45519e-11,40950,73110.6,24462,48648.6,0,48648.6,0,48648.6,123558,0.608741,-2.16321e-16,1.83675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608741,0.24242604429909287,0.24242604429909287,0.608741,52.7214,54.21771389479976
1997-07-31,Year0,7,25.7,34.5,30.12,94.3018,31,160.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3356899614622317,89851.9,0,0,0,0,0,0,89.6134,0,0,89.6134,0,0,89.6134,0,89.6133,0,89.6134,0,0,89.6134,0,0,89.6134,0,0,0,0,0,0,0,0,0,0,48648.6,0,7206.38,0,0,40950,41664,465,25277.4,16851.6,16851.6,73000.3,89851.9,242047,1,40950,7206.38,0,73000.3,0,0,40950,89598.6,25277.4,64321.2,0,64321.2,0,64321.2,73000.3,0.608741,0,1.08518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608741,0.2505069124423964,0.2505069124423964,0.608741,89.6133,93.44254840065646
1997-08-31,Year0,8,25.3,33,29.16,111.494,31,145.869,72.9344,0,0,72.9344,0,0,31,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,27.4445,81.0568,45.49,0,107.453,0,0,107.453,0,107.453,27.4445,81.0568,45.49,0,107.453,0,0,107.453,0,0.790214,247281,0,0,0,0,247281,712,0,64321.2,0,6564.1,0,247281,40950,41664,465,25277.4,16851.6,0,0,0,193890,0,26933.4,4317.3,162640,0,0,0,26933.4,91254.6,25277.4,65977.2,65977.2,0,0,0,0,0.400377,0,0,0,0.924525,70.8631,45.49,0.971599,0.62371,0,0,0,0,0,0,0,0,0.400377,0.0,0.0,0.400377,109.813,111.09331490269825
1997-09-30,Year0,9,24.9,32.6,28.76,251.924,30,134.166,103.308,66.1888,0,103.308,66.1888,0,30,30,0,712,0,1600,280,0,0,82.69951044159237,5.5632e+06,29.6884,43.4875,42.7331,42.7331,41.3671,11.8436,9.63948,91.4645,15.7533,55.9631,50.4355,0,107.153,0,107.153,11.8436,9.63948,91.4645,15.7533,55.9631,50.4355,0,107.153,0,0.790214,106714,0.596672,422430,0,0,529144,2312,280,0,2.78276e+06,6037.49,0,529144,40950,40320,450,24462,16308,16308,5.54689e+06,5.5632e+06,521550,0,37070.5,5465.51,479014,521550,5.02534e+06,1.0368e+06,1.07387e+06,3.85663e+06,24462,3.83217e+06,50129.9,3.78204e+06,0,3.78204e+06,1.55835e+06,0.55107,15.4125,23.1656,0,1,103.308,91.4645,1,0.885356,66.1888,50.4355,1,0.761995,0,0,0,0,15.9636,59.53390913343122,59.53390913343122,57.3307,106.159,135.0593456406919
1997-10-31,Year0,10,23.9,31.2,27.56,276.045,31,122.335,109.707,102.604,0,109.707,102.604,0,31,31,0,712,0,1600,280,0,0,103.99921111447313,6.99603e+06,119.96,119.96,105.161,105.161,111.82,0.0708591,0,109.636,2.33439,0,100.269,0,93.4316,0,93.4316,0.070857,0,109.636,2.33439,0,100.269,0,93.4316,0,0.790214,638.455,0.596672,62597.7,0,0,63236.1,2312,280,3.78204e+06,7.5221e+06,5505.09,0,63236.1,40950,41664,465,25277.4,16851.6,16851.6,6.97918e+06,6.99603e+06,521550,1,40950,5505.09,63236.1,521550,6.45763e+06,1.0368e+06,1.07775e+06,1.23819e+07,25277.4,1.23566e+07,0,1.23566e+07,4.28421e+06,8.0724e+06,1.55835e+06,0.608741,15.4125,23.1656,63.6868,1,109.707,109.636,1,0.999354,102.604,100.269,1,0.977248,0,0,0,0,16.0213,80.83360980631198,144.52044636019832,64.1539,97.6657,67.37103451213724
